tool,db,tool_db,data_type,project,technology,sample,raw_path,rows,species_rows,genus_rows,species_no_taxid,genus_no_taxid,species_value_sum,genus_value_sum,out_path
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/sylph-results/SRR13128013.fastq.sylphmpa,30,14,16,0,0,12.1082,13.819700000000001,results/prepared/20260713_014947/analysis-prep/tables/abundance/Sylph_default/ZymoMockD6331_pacbio_SRR13128013.csv
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/sylph-results/SRR13128014.fastq.sylphmpa,30,14,16,0,0,11.967199999999998,13.6675,results/prepared/20260713_014947/analysis-prep/tables/abundance/Sylph_default/ZymoMockD6331_pacbio_SRR13128014.csv
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/default-reports/simulated/ont/Kraken2-results/sim_ont_report.tsv,1259,853,406,0,0,93.62057546113672,98.39748232612702,results/prepared/20260713_014947/analysis-prep/tables/abundance/Kraken2_default/simulated_ont_sim_ont.csv
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/default-reports/simulated/ont/Centrifuge-results/sim_ont_report.tsv,5612,4351,1261,0,0,90.75142680025868,87.3059097802587,results/prepared/20260713_014947/analysis-prep/tables/abundance/Centrifuge_default/simulated_ont_sim_ont.csv
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/default-reports/simulated/ont/Centrifuger-results/sim_ont_report.tsv,8391,6525,1866,0,0,99.91332,99.96017,results/prepared/20260713_014947/analysis-prep/tables/abundance/Centrifuger_default/simulated_ont_sim_ont.csv
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/default-reports/simulated/ont/ganon2-results/sim_ont.tre,269,183,86,0,0,96.69998,96.69996,results/prepared/20260713_014947/analysis-prep/tables/abundance/Ganon2_default/simulated_ont_sim_ont.csv
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/default-reports/simulated/ont/sourmash-results/sim_ont-report.csv.summarized.csv,211,146,65,1,0,90.14617483986135,85.87125082857612,results/prepared/20260713_014947/analysis-prep/tables/abundance/Sourmash_default/simulated_ont_sim_ont.csv
Sylph,default,Sylph_default,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/default-reports/simulated/ont/sylph-results/sim_ont.fastq.sylphmpa,181,117,64,14,0,26.601999999999997,26.602000000000004,results/prepared/20260713_014947/analysis-prep/tables/abundance/Sylph_default/simulated_ont_sim_ont.csv
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/default-reports/simulated/pacbio/Kraken2-results/sim_pacbio_report.tsv,636,438,198,0,0,97.0589516269526,99.50147758141213,results/prepared/20260713_014947/analysis-prep/tables/abundance/Kraken2_default/simulated_pacbio_sim_pacbio.csv
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/default-reports/simulated/pacbio/Centrifuge-results/sim_pacbio_report.tsv,5155,3993,1162,0,0,92.6702049250867,91.23518392508669,results/prepared/20260713_014947/analysis-prep/tables/abundance/Centrifuge_default/simulated_pacbio_sim_pacbio.csv
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/default-reports/simulated/pacbio/Centrifuger-results/sim_pacbio_report.tsv,5024,3702,1322,0,0,99.99477,99.9943,results/prepared/20260713_014947/analysis-prep/tables/abundance/Centrifuger_default/simulated_pacbio_sim_pacbio.csv
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/default-reports/simulated/pacbio/ganon2-results/sim_pacbio.tre,224,152,72,0,0,96.63654,96.63647,results/prepared/20260713_014947/analysis-prep/tables/abundance/Ganon2_default/simulated_pacbio_sim_pacbio.csv
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/default-reports/simulated/pacbio/sourmash-results/sim_pacbio-report.csv.summarized.csv,212,147,65,1,0,93.42328749415535,88.92066934786176,results/prepared/20260713_014947/analysis-prep/tables/abundance/Sourmash_default/simulated_pacbio_sim_pacbio.csv
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/default-reports/simulated/pacbio/sylph-results/sim_pacbio.fastq.sylphmpa,181,117,64,14,0,26.670999999999996,26.671000000000003,results/prepared/20260713_014947/analysis-prep/tables/abundance/Sylph_default/simulated_pacbio_sim_pacbio.csv
